É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/10/27 10:48:43

,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és
2017/1/19,0,1,8,1,8.5,8,1,4.1,0,8,1
2017/1/20,1.0,0,8,1,7.0,8,1,4.3,0,8,1
2017/1/21,1.5,0,8,1,6.9,8,1,7.9,0,8,1
2017/1/22,0.0,0,8,1,9.5,8,1,4.9,0,8,1
2017/1/23,2.0,0,8,1,3.3,8,1,1.5,0,8,1
2017/1/24,3.0,0,8,1,1.5,8,1,0.3,0,8,1
2017/1/25,0,1,8,1,6.5,8,1,8.4,0,8,1
2017/1/26,0,1,8,1,9.6,8,1,9.3,0,8,1
2017/1/27,0,1,8,1,10.7,8,1,4.5,0,8,1
2017/1/28,0,1,8,1,12.2,8,1,9.4,0,8,1
2017/1/29,6.5,0,8,1,11.3,8,1,5.3,0,8,1
2017/1/30,4.5,0,8,1,11.6,8,1,1.6,0,8,1
2017/1/31,0.0,0,8,1,7.0,8,1,8.5,0,8,1
2017/2/1,0.0,0,8,1,9.9,8,1,4.8,0,8,1
2017/2/2,0.0,0,8,1,6.3,8,1,1.3,0,8,1
2017/2/3,0.0,0,8,1,10.8,8,1,7.5,0,8,1
2017/2/4,0,1,8,1,13.2,8,1,9.6,0,8,1
2017/2/5,12.5,0,8,1,5.4,8,1,0.0,0,8,1
2017/2/6,1.0,0,8,1,10.6,8,1,9.1,0,8,1
2017/2/7,1.5,0,8,1,6.3,8,1,4.8,0,8,1
2017/2/8,0.0,0,8,1,8.3,8,1,3.0,0,8,1
2017/2/9,1.5,0,8,1,3.7,8,1,0.0,0,8,1
2017/2/10,0.5,0,8,1,6.8,8,1,3.6,0,8,1
2017/2/11,0.0,0,8,1,7.5,8,1,8.1,0,8,1
2017/2/12,0.0,0,8,1,6.9,8,1,7.2,0,8,1
2017/2/13,0.0,0,8,1,9.2,8,1,7.0,0,8,1
2017/2/14,0.5,0,8,1,7.9,8,1,5.1,0,8,1
2017/2/15,0.0,0,8,1,9.6,8,1,6.3,0,8,1
2017/2/16,0,1,8,1,13.0,8,1,9.6,0,8,1
2017/2/17,1.0,0,8,1,10.7,8,1,0.6,0,8,1
2017/2/18,0.0,0,8,1,11.3,8,1,5.4,0,8,1
2017/2/19,0.0,0,8,1,10.1,8,1,6.8,0,8,1
2017/2/20,8.5,0,8,1,11.1,8,1,1.9,0,8,1
2017/2/21,1.0,0,8,1,6.7,8,1,3.6,0,8,1
2017/2/22,3.0,0,8,1,11.0,8,1,6.1,0,8,1
2017/2/23,9.5,0,8,1,12.4,8,1,0.1,0,8,1
2017/2/24,0.0,0,8,1,9.1,8,1,7.7,0,8,1
2017/2/25,0,1,8,1,11.8,8,1,7.1,0,8,1
2017/2/26,0,1,8,1,13.4,8,1,8.0,0,8,1
2017/2/27,0,1,8,1,12.0,8,1,10.0,0,8,1
2017/2/28,0,1,8,1,12.0,8,1,10.1,0,8,1
2017/3/1,6.0,0,8,1,11.1,8,1,4.7,0,8,1
2017/3/2,2.5,0,8,1,10.4,8,1,0.6,0,8,1
2017/3/3,0.0,0,8,1,11.3,8,1,8.1,0,8,1
2017/3/4,0,1,8,1,14.0,8,1,8.9,0,8,1
2017/3/5,0,1,8,1,15.6,8,1,7.8,0,8,1
2017/3/6,0.0,0,8,1,12.9,8,1,0.1,0,8,1
2017/3/7,0.0,0,8,1,10.7,8,1,7.1,0,8,1
2017/3/8,0.0,0,8,1,11.1,8,1,7.0,0,8,1
2017/3/9,0.0,0,8,1,11.2,8,1,4.8,0,8,1
2017/3/10,0.0,0,8,1,12.6,8,1,7.7,0,8,1
2017/3/11,0,1,8,1,12.9,8,1,9.6,0,8,1
2017/3/12,0,1,8,1,13.1,8,1,10.0,0,8,1
2017/3/13,0.5,0,8,1,13.2,8,1,2.6,0,8,1
2017/3/14,0.0,0,8,1,12.9,8,1,5.8,0,8,1
2017/3/15,0.5,0,8,1,10.4,8,1,4.2,0,8,1
2017/3/16,0,1,8,1,12.3,8,1,10.4,0,8,1
2017/3/17,0,1,8,1,13.3,8,1,10.1,0,8,1
2017/3/18,0,1,8,1,14.9,8,1,6.8,0,8,1
2017/3/19,0,1,8,1,16.8,8,1,10.2,0,8,1
2017/3/20,0.5,0,8,1,18.0,8,1,8.6,0,8,1
2017/3/21,50.5,0,8,1,10.0,8,1,0.5,0,8,1
2017/3/22,0.0,0,8,1,13.9,8,1,9.9,0,8,1
2017/3/23,0,1,8,1,14.7,8,1,3.9,0,8,1
2017/3/24,0.0,0,8,1,11.8,8,1,8.4,0,8,1
2017/3/25,0.0,0,8,1,11.8,8,1,3.8,0,8,1
2017/3/26,18.0,0,8,1,8.9,8,1,0.0,0,8,1
2017/3/27,1.5,0,8,1,13.3,8,1,11.0,0,8,1
2017/3/28,0,1,8,1,16.2,8,1,8.6,0,8,1
2017/3/29,0,1,8,1,15.2,8,1,6.8,0,8,1
2017/3/30,0.0,0,8,1,18.1,8,1,7.8,0,8,1
2017/3/31,14.5,0,8,1,11.9,8,1,0.0,0,8,1
2017/4/1,2.5,0,8,1,12.4,8,1,1.9,0,8,1
2017/4/2,0,1,8,1,15.3,8,1,11.3,0,8,1
2017/4/3,0.0,0,8,1,18.4,8,1,9.1,0,8,1
2017/4/4,0,1,8,1,19.5,8,1,11.5,0,8,1
2017/4/5,0,1,8,1,17.3,8,1,6.4,0,8,1
2017/4/6,4.0,0,8,1,18.3,8,1,1.2,0,8,1
2017/4/7,9.5,0,8,1,20.6,8,1,0.3,0,8,1
2017/4/8,27.0,0,8,1,19.3,8,1,0.0,0,8,1
2017/4/9,2.0,0,8,1,19.4,8,1,3.0,0,8,1
2017/4/10,0.0,0,8,1,12.6,8,1,0.1,0,8,1
2017/4/11,41.5,0,8,1,13.0,8,1,0.0,0,8,1
2017/4/12,0.0,0,8,1,17.5,8,1,8.7,0,8,1
2017/4/13,0,1,8,1,18.5,8,1,9.5,0,8,1
2017/4/14,0,1,8,1,19.8,8,1,11.2,0,8,1
2017/4/15,1.5,0,8,1,19.8,8,1,5.5,0,8,1
2017/4/16,0,1,8,1,23.6,8,1,10.8,0,8,1
2017/4/17,43.0,0,8,1,18.8,8,1,1.2,0,8,1
2017/4/18,3.5,0,8,1,20.4,8,1,7.0,0,8,1
2017/4/19,0.0,0,8,1,19.9,8,1,6.4,0,8,1
2017/4/20,0,1,8,1,19.9,8,1,5.1,0,8,1
2017/4/21,0.0,0,8,1,19.0,8,1,2.0,0,8,1
2017/4/22,0,1,8,1,20.4,8,1,8.9,0,8,1
2017/4/23,0,1,8,1,21.0,8,1,12.2,0,8,1
2017/4/24,0.0,0,8,1,19.7,8,1,3.2,0,8,1
2017/4/25,0.0,0,8,1,20.8,8,1,7.0,0,8,1
2017/4/26,8.0,0,8,1,16.3,8,1,0.0,0,8,1
2017/4/27,0.0,0,8,1,19.4,8,1,5.1,0,8,1
2017/4/28,0,1,8,1,22.4,8,1,11.7,0,8,1
2017/4/29,0.0,0,8,1,23.4,8,1,7.5,0,8,1
2017/4/30,0,1,8,1,22.8,8,1,12.2,0,8,1
2017/5/1,0.0,0,8,1,24.8,8,1,6.3,0,8,1
2017/5/2,0,1,8,1,21.8,8,1,12.2,0,8,1
2017/5/3,0,1,8,1,21.4,8,1,5.7,0,8,1
2017/5/4,0.0,0,8,1,20.9,8,1,2.6,0,8,1
2017/5/5,0,1,8,1,25.0,8,1,10.6,0,8,1
2017/5/6,0.0,0,8,1,25.0,8,1,1.7,0,8,1
2017/5/7,0,1,8,1,25.2,8,1,8.4,0,8,1
2017/5/8,0,1,8,1,28.7,8,1,11.8,0,8,1
2017/5/9,8.0,0,8,1,22.3,8,1,0.1,0,8,1
2017/5/10,16.5,0,8,1,17.1,8,1,0.0,0,8,1
2017/5/11,0.5,0,8,1,25.7,5,1,6.7,0,8,1
2017/5/12,0.0,0,8,1,27.2,8,1,6.2,0,8,1
2017/5/13,41.0,0,8,1,19.7,8,1,0.0,0,8,1
2017/5/14,0.0,0,8,1,24.4,8,1,7.0,0,8,1
2017/5/15,0.0,0,8,1,24.3,8,1,3.7,0,8,1
2017/5/16,0,1,8,1,22.2,8,1,3.7,0,8,1
2017/5/17,0,1,8,1,22.9,8,1,5.2,0,8,1
2017/5/18,0,1,8,1,25.5,8,1,11.9,0,8,1
2017/5/19,0,1,8,1,26.4,8,1,12.4,0,8,1
2017/5/20,0,1,8,1,28.6,8,1,12.9,0,8,1
2017/5/21,0,1,8,1,28.3,8,1,10.9,0,8,1
2017/5/22,0,1,8,1,26.6,8,1,9.7,0,8,1
2017/5/23,0,1,8,1,26.1,8,1,10.1,0,8,1
2017/5/24,0.0,0,8,1,23.9,8,1,0.1,0,8,1
2017/5/25,12.0,0,8,1,21.3,8,1,0.3,0,8,1
2017/5/26,12.0,0,8,1,22.1,8,1,0.3,0,8,1
2017/5/27,0,1,8,1,23.7,8,1,10.1,0,8,1
2017/5/28,0,1,8,1,25.6,8,1,13.0,0,8,1
2017/5/29,0,1,8,1,26.3,8,1,12.7,0,8,1
2017/5/30,0,1,8,1,29.3,8,1,9.1,0,8,1
2017/5/31,0.0,0,8,1,26.3,8,1,1.9,0,8,1
2017/6/1,7.0,0,8,1,27.5,8,1,5.8,0,8,1
2017/6/2,1.0,0,8,1,23.2,8,1,9.0,0,8,1
2017/6/3,0,1,8,1,23.3,8,1,12.4,0,8,1
2017/6/4,0,1,8,1,24.5,8,1,13.0,0,8,1
2017/6/5,0,1,8,1,26.1,8,1,13.0,0,8,1
2017/6/6,0,1,8,1,24.4,8,1,7.8,0,8,1
2017/6/7,23.0,0,8,1,20.1,8,1,0.0,0,8,1
2017/6/8,8.0,0,8,1,23.5,8,1,2.1,0,8,1
2017/6/9,0,1,8,1,28.0,8,1,10.7,0,8,1
2017/6/10,0,1,8,1,30.4,8,1,11.6,0,8,1
2017/6/11,0,1,8,1,26.0,8,1,4.4,0,8,1
2017/6/12,0,1,8,1,24.4,8,1,11.5,0,8,1
2017/6/13,0,1,8,1,25.2,8,1,12.9,0,8,1
2017/6/14,0,1,8,1,27.1,8,1,13.2,0,8,1
2017/6/15,0,1,8,1,27.4,8,1,13.1,0,8,1
2017/6/16,0,1,8,1,27.1,8,1,9.1,0,8,1
2017/6/17,0,1,8,1,26.3,8,1,11.4,0,8,1
2017/6/18,0.0,0,8,1,23.5,8,1,0.0,0,8,1
2017/6/19,0,1,8,1,32.6,8,1,13.3,0,8,1
2017/6/20,0.0,0,8,1,27.8,8,1,5.7,0,8,1
2017/6/21,81.5,0,8,1,24.8,8,1,0.4,0,8,1
2017/6/22,0,1,8,1,28.3,8,1,4.6,0,8,1
2017/6/23,0,1,8,1,28.7,8,1,11.9,0,8,1
2017/6/24,0.5,0,8,1,26.8,8,1,5.9,0,8,1
2017/6/25,26.0,0,8,1,22.6,8,1,0.0,0,8,1
2017/6/26,0.0,0,8,1,28.6,8,1,5.2,0,8,1
2017/6/27,1.0,0,8,1,26.6,8,1,0.9,0,8,1
2017/6/28,9.5,0,8,1,26.9,8,1,2.9,0,8,1
2017/6/29,0.0,0,8,1,27.3,8,1,0.7,0,8,1
2017/6/30,37.0,0,8,1,24.3,8,1,0.0,0,8,1
2017/7/1,0.0,0,8,1,30.4,8,1,4.8,0,8,1
2017/7/2,2.5,0,8,1,33.0,8,1,4.4,0,8,1
2017/7/3,0,1,8,1,33.3,8,1,8.3,0,8,1
2017/7/4,36.5,0,8,1,32.9,8,1,1.3,0,8,1
2017/7/5,16.0,0,8,1,27.3,8,1,0.1,0,8,1
2017/7/6,0,1,8,1,31.2,8,1,9.9,0,8,1
2017/7/7,0,1,8,1,31.1,8,1,11.9,0,8,1
2017/7/8,0,1,8,1,32.2,8,1,12.1,0,8,1
2017/7/9,0.0,0,8,1,28.8,8,1,0.0,0,8,1
2017/7/10,0.0,0,8,1,29.9,8,1,2.0,0,8,1
2017/7/11,0.0,0,8,1,30.3,8,1,7.6,0,8,1
2017/7/12,28.0,0,8,1,31.8,8,1,3.2,0,8,1
2017/7/13,0,1,8,1,31.3,8,1,7.7,0,8,1
2017/7/14,0.0,0,8,1,29.7,8,1,3.1,0,8,1
2017/7/15,0.0,0,8,1,31.7,8,1,7.1,0,8,1
2017/7/16,0.0,0,8,1,33.7,8,1,7.4,0,8,1
2017/7/17,0.0,0,8,1,33.3,8,1,2.6,0,8,1
2017/7/18,0.0,0,8,1,33.7,8,1,6.7,0,8,1
2017/7/19,0,1,8,1,31.8,8,1,8.2,0,8,1
2017/7/20,0,1,8,1,30.7,8,1,10.4,0,8,1
2017/7/21,3.5,0,8,1,30.3,8,1,6.0,0,8,1
2017/7/22,0.0,0,8,1,31.8,8,1,9.3,0,8,1
2017/7/23,8.5,0,8,1,30.9,8,1,1.1,0,8,1
2017/7/24,0.0,0,8,1,31.9,8,1,5.3,0,8,1
2017/7/25,0.0,0,8,1,31.7,8,1,0.2,0,8,1
2017/7/26,16.5,0,8,1,33.4,8,1,8.3,0,8,1
2017/7/27,4.0,0,8,1,26.9,8,1,0.0,0,8,1
2017/7/28,0.5,0,8,1,31.0,8,1,2.5,0,8,1
2017/7/29,0.0,0,8,1,32.1,8,1,4.0,0,8,1
2017/7/30,3.5,0,8,1,28.0,8,1,0.0,0,8,1
2017/7/31,0.0,0,8,1,32.2,8,1,4.2,0,8,1
2017/8/1,0,1,8,1,34.1,8,1,6.6,0,8,1
2017/8/2,0.5,0,8,1,31.5,8,1,4.6,0,8,1
2017/8/3,4.5,0,8,1,29.9,8,1,2.7,0,8,1
2017/8/4,8.0,0,8,1,30.1,8,1,1.7,0,8,1
2017/8/5,1.0,0,8,1,29.8,8,1,1.9,0,8,1
2017/8/6,0.0,0,8,1,32.1,8,1,8.1,0,8,1
2017/8/7,102.5,0,8,1,27.9,8,1,0.0,0,8,1
2017/8/8,1.0,0,8,1,31.9,8,1,6.6,0,8,1
2017/8/9,0,1,8,1,33.7,8,1,11.6,0,8,1
2017/8/10,0.0,0,8,1,33.6,8,1,3.4,0,8,1
2017/8/11,7.0,0,8,1,30.3,8,1,0.8,0,8,1
2017/8/12,2.0,0,8,1,32.0,8,1,7.4,0,8,1
2017/8/13,0,1,8,1,32.5,8,1,9.7,0,8,1
2017/8/14,0.0,0,8,1,31.0,8,1,1.6,0,8,1
2017/8/15,5.5,0,8,1,25.5,8,1,0.0,0,8,1
2017/8/16,18.5,0,8,1,27.1,8,1,0.0,0,8,1
2017/8/17,0,1,8,1,31.0,8,1,6.0,0,8,1
2017/8/18,2.0,0,8,1,30.8,8,1,4.2,0,8,1
2017/8/19,0,1,8,1,33.4,8,1,9.3,0,8,1
2017/8/20,0.0,0,8,1,31.1,8,1,9.8,0,8,1
2017/8/21,14.0,0,8,1,31.0,8,1,6.9,0,8,1
2017/8/22,0.0,0,8,1,32.0,8,1,2.0,0,8,1
2017/8/23,0.5,0,8,1,33.3,8,1,6.9,0,8,1
2017/8/24,0,1,8,1,35.7,8,1,10.6,0,8,1
2017/8/25,0.0,0,8,1,34.5,8,1,7.5,0,8,1
2017/8/26,2.5,0,8,1,31.0,8,1,3.6,0,8,1
2017/8/27,0,1,8,1,30.3,8,1,8.9,0,8,1
2017/8/28,1.5,0,8,1,29.4,8,1,0.8,0,8,1
2017/8/29,21.0,0,8,1,31.3,8,1,6.4,0,8,1
2017/8/30,0.0,0,8,1,32.4,8,1,8.6,0,8,1
2017/8/31,0,1,8,1,31.8,8,1,11.5,0,8,1
2017/9/1,0,1,8,1,30.6,8,1,11.5,0,8,1
2017/9/2,0.0,0,8,1,29.7,8,1,11.4,0,8,1
2017/9/3,0,1,8,1,29.7,8,1,9.8,0,8,1
2017/9/4,0,1,8,1,27.0,8,1,3.6,0,8,1
2017/9/5,8.0,0,8,1,29.0,8,1,6.2,0,8,1
2017/9/6,11.5,0,8,1,24.4,8,1,0.0,0,8,1
2017/9/7,5.0,0,8,1,27.0,8,1,0.1,0,8,1
2017/9/8,0.0,0,8,1,29.9,8,1,10.5,0,8,1
2017/9/9,0.0,0,8,1,29.0,8,1,6.4,0,8,1
2017/9/10,0.0,0,8,1,29.8,8,1,4.3,0,8,1
2017/9/11,1.0,0,8,1,29.0,8,1,0.5,0,8,1
2017/9/12,9.5,0,8,1,27.3,8,1,0.2,0,8,1
2017/9/13,0,1,8,1,30.3,8,1,8.6,0,8,1
2017/9/14,0,1,8,1,29.3,8,1,6.8,0,8,1
2017/9/15,0.0,0,8,1,26.3,8,1,3.7,0,8,1
2017/9/16,49.5,0,8,1,20.4,8,1,0.0,0,8,1
2017/9/17,10.0,0,8,1,25.8,8,1,0.0,0,8,1
2017/9/18,0.5,0,8,1,28.2,8,1,8.1,0,8,1
2017/9/19,0,1,8,1,28.4,8,1,7.4,0,8,1
2017/9/20,0.0,0,8,1,24.7,8,1,0.1,0,8,1
2017/9/21,0,1,8,1,27.9,8,1,8.4,0,8,1
2017/9/22,6.0,0,8,1,22.3,8,1,1.8,0,8,1
2017/9/23,0.5,0,8,1,28.6,8,1,3.3,0,8,1
2017/9/24,0.0,0,8,1,26.2,8,1,5.3,0,8,1
2017/9/25,0.0,0,8,1,27.7,8,1,9.1,0,5,1
2017/9/26,0.0,0,8,1,27.6,8,1,7.2,0,5,1
2017/9/27,15.0,0,8,1,26.6,8,1,2.3,0,5,1
2017/9/28,7.5,0,8,1,24.9,8,1,0.3,0,5,1
2017/9/29,0,1,8,1,26.4,8,1,8.5,0,5,1
2017/9/30,0,1,8,1,25.5,8,1,4.8,0,5,1
2017/10/1,0.0,0,8,1,24.4,8,1,4.4,0,5,1
2017/10/2,67.0,0,8,1,23.5,8,1,0.0,0,5,1
2017/10/3,2.5,0,8,1,27.4,8,1,2.1,0,5,1
2017/10/4,0,1,8,1,23.1,8,1,4.1,0,5,1
2017/10/5,0,1,8,1,20.7,8,1,0.8,0,5,1
2017/10/6,39.0,0,8,1,18.4,8,1,0.0,0,5,1
2017/10/7,7.5,0,8,1,24.5,8,1,0.4,0,5,1
2017/10/8,0.0,0,8,1,27.2,8,1,8.6,0,5,1
2017/10/9,1.5,0,8,1,25.4,8,1,1.4,0,5,1
2017/10/10,0,1,8,1,29.0,8,1,8.2,0,5,1
2017/10/11,0,1,8,1,28.7,8,1,8.4,0,5,1
2017/10/12,0.0,0,8,1,24.7,8,1,0.1,0,5,1
2017/10/13,5.5,0,8,1,20.4,8,1,0.0,0,5,1
2017/10/14,13.5,0,8,1,21.1,8,1,0.1,0,5,1
2017/10/15,19.5,0,8,1,18.3,8,1,0.0,0,5,1
2017/10/16,36.0,0,8,1,16.3,8,1,0.0,0,5,1
2017/10/17,18.0,0,8,1,16.2,8,1,0.0,0,5,1
2017/10/18,3.5,0,8,1,20.3,8,1,3.7,0,5,1
2017/10/19,35.5,0,8,1,15.4,8,1,0.1,0,5,1
2017/10/20,4.5,0,8,1,19.2,8,1,0.1,0,5,1
2017/10/21,22.0,0,8,1,18.5,8,1,0.0,0,5,1
2017/10/22,276.5,0,8,1,18.1,8,1,0.0,0,5,1
2017/10/23,18.5,0,8,1,17.9,8,1,4.2,0,5,1
2017/10/24,1.0,0,8,1,15.5,8,1,0.0,0,5,1
2017/10/25,19.0,0,8,1,19.6,8,1,1.0,0,5,1
2017/10/26,0,1,8,1,20.9,8,1,9.0,0,5,1
2017/10/27,0,1,8,1,20.4,8,1,9.2,0,5,1
2017/10/28,18.0,0,8,1,16.0,8,1,0.0,0,5,1
2017/10/29,51.5,0,8,1,20.2,8,1,0.0,0,5,1
2017/10/30,1.0,0,8,1,17.2,8,1,7.1,0,5,1
2017/10/31,0,1,8,1,18.4,8,1,9.1,0,5,1
2017/11/1,0,1,8,1,19.9,8,1,9.2,0,5,1
2017/11/2,0,1,8,1,20.6,8,1,9.3,0,8,1
2017/11/3,0,1,8,1,23.5,8,1,8.0,0,5,1
2017/11/4,0.0,0,8,1,20.9,8,1,6.3,0,5,1
2017/11/5,0,1,8,1,18.2,8,1,8.9,0,5,1
2017/11/6,0,1,8,1,20.1,8,1,8.8,0,5,1
2017/11/7,0,1,8,1,20.8,8,1,2.9,0,5,1
2017/11/8,4.5,0,8,1,17.0,8,1,0.0,0,5,1
2017/11/9,0.0,0,8,1,18.3,8,1,8.7,0,5,1
2017/11/10,0,1,8,1,17.4,8,1,3.5,0,5,1
2017/11/11,4.5,0,8,1,16.8,8,1,6.2,0,5,1
2017/11/12,0,1,8,1,16.3,8,1,8.8,0,5,1
2017/11/13,0,1,8,1,17.9,8,1,8.4,0,5,1
2017/11/14,8.5,0,8,1,13.3,8,1,0.0,0,5,1
2017/11/15,0,1,8,1,18.0,8,1,5.5,0,5,1
2017/11/16,0.0,0,8,1,13.6,8,1,3.8,0,5,1
2017/11/17,0,1,8,1,13.5,8,1,6.4,0,5,1
2017/11/18,20.5,0,8,1,10.3,8,1,0.0,0,5,1
2017/11/19,0.0,0,8,1,11.7,8,1,3.3,0,5,1
2017/11/20,0.0,0,8,1,10.9,8,1,1.1,0,5,1
2017/11/21,0.0,0,8,1,12.3,8,1,7.8,0,5,1
2017/11/22,0.0,0,8,1,12.5,8,1,2.4,0,5,1
2017/11/23,8.5,0,8,1,14.3,8,1,2.2,0,5,1
2017/11/24,0,1,8,1,12.6,8,1,7.9,0,5,1
2017/11/25,0,1,8,1,13.4,8,1,7.5,0,5,1
2017/11/26,0.0,0,8,1,11.7,8,1,3.4,0,5,1
2017/11/27,0,1,8,1,15.9,8,1,7.7,0,8,1
2017/11/28,0,1,8,1,16.9,8,1,7.7,0,5,1
2017/11/29,0.0,0,8,1,14.9,8,1,0.5,0,5,1
2017/11/30,0.0,0,8,1,17.1,8,1,1.2,0,5,1
2017/12/1,0.0,0,8,1,13.8,8,1,6.2,0,5,1
2017/12/2,0.0,0,8,1,12.4,8,1,6.8,0,5,1
2017/12/3,0,1,8,1,14.3,8,1,7.9,0,5,1
2017/12/4,0.0,0,8,1,10.8,8,1,1.6,0,5,1
2017/12/5,0,1,8,1,11.2,8,1,6.2,0,5,1
2017/12/6,0,1,8,1,11.0,8,1,7.3,0,5,1
2017/12/7,0,1,8,1,10.7,8,1,7.6,0,5,1
2017/12/8,1.0,0,8,1,7.3,8,1,0.0,0,5,1
2017/12/9,0,1,8,1,8.9,8,1,1.9,0,5,1
2017/12/10,0.0,0,8,1,10.1,8,1,3.7,0,5,1
2017/12/11,0.0,0,8,1,13.8,8,1,5.5,0,5,1
2017/12/12,0,1,8,1,7.7,8,1,6.8,0,5,1
2017/12/13,0.0,0,8,1,9.0,8,1,5.7,0,5,1
2017/12/14,0.5,0,8,1,8.5,8,1,7.0,0,5,1
2017/12/15,0,1,8,1,11.3,8,1,7.9,0,5,1
2017/12/16,0.0,0,8,1,10.1,8,1,1.5,0,5,1
2017/12/17,0.0,0,8,1,7.1,8,1,4.1,0,5,1
2017/12/18,0,1,8,1,9.9,8,1,8.2,0,5,1
2017/12/19,0.0,0,8,1,12.3,8,1,4.5,0,5,1
2017/12/20,0,1,8,1,11.1,8,1,5.6,0,5,1
2017/12/21,0,1,8,1,10.1,8,1,7.9,0,5,1
2017/12/22,0,1,8,1,11.6,8,1,7.9,0,5,1
2017/12/23,0,1,8,1,13.5,8,1,6.0,0,5,1
2017/12/24,36.5,0,8,1,11.6,8,1,2.7,0,5,1
2017/12/25,1.5,0,8,1,11.1,8,1,2.1,0,5,1
2017/12/26,0.0,0,8,1,9.3,8,1,3.6,0,8,1
2017/12/27,0.0,0,8,1,6.9,8,1,2.6,0,8,1
2017/12/28,0.5,0,8,1,6.7,8,1,3.1,0,8,1
2017/12/29,0.0,0,8,1,8.3,8,1,1.1,0,8,1
2017/12/30,0.0,0,8,1,9.3,8,1,8.3,0,8,1
2017/12/31,0.5,0,8,1,6.4,8,1,0.0,0,8,1
